Name	Description	Theme	Is hostile	Environmental actions
Forest Clearing	A peaceful clearing in the woods, dappled with sunlight.	Forest	false	Forest Spirits: 0.8; Magical Barrier: 0.2
Wolf Den	A natural cave where wolves have made their home. Bones and fur litter the ground.	Forest	true	Falling Branch: 0.6; Thorn Vines: 0.4
Ancient Grove	Massive trees tower overhead, their branches forming a natural cathedral.	Forest	false	Forest Spirits: 0.9; Spider Web: 0.1
Bear Cave	A deep cave entrance with claw marks on the walls and the smell of wild animals.	Forest	true	Falling Branch: 0.5; Thorn Vines: 0.3; Spider Web: 0.2
Lava Chamber	Molten rock flows through channels in the floor, creating an oppressive heat.	Lava	true	Lava Surge: 0.8; Falling Rocks: 0.2
Magma Pool	A bubbling pool of molten rock with steam rising from its surface.	Lava	true	Lava Splash: 0.7; Steam Burst: 0.3
Volcanic Vent	A narrow passage where superheated gases escape from deep underground.	Lava	true	Steam Burst: 0.8; Bat Swarm: 0.2
Crypt Passage	Ancient stone walls lined with burial niches, the air thick with dust and decay.	Crypt	true	Rising Dead: 0.7; Ancient Curse: 0.3
Burial Chamber	A solemn chamber filled with ornate sarcophagi and funerary offerings.	Crypt	true	Curse of the Crypt: 0.6; Ghostly Whisper: 0.4
Tomb of the Forgotten	A forgotten tomb where the walls are covered in ancient hieroglyphs.	Crypt	false	Skeleton Hand: 0.5; Curse of the Crypt: 0.5
