Class,Tree,Weapon,Stat,Id,Name,Branch,Tier,Type,Cost,Requires,Effect,Payoff,UnlockAction,CustomEffectId
Barbarian,Bronze Skin,Mace,STR,b-root,Bronze Skin,Core,0,Passive,0,,"The first time you take damage each fight, gain 2 Harden. When it expires, your next Mace hit applies Armor Break.",Turns incoming damage into a delayed offensive opening.,,bronze_skin
Barbarian,Bronze Skin,Mace,STR,b-venom,Venom Mace,Impact,1,Passive,4,b-root,Mace hits against Poisoned enemies resolve one Poison tick and convert one stack into Acid.,Poison gear becomes immediate damage and armor shred.,,venom_mace
Barbarian,Bronze Skin,Mace,STR,b-age1,First Bronze Age,Alloy,1,Passive,4,b-root,Combo slot 1 gains +8% damage per equipped Bronze item.,Material tags and strip position become build choices.,,first_bronze_age
Barbarian,Bronze Skin,Mace,STR,b-gut,Gut Instinct,Instinct,1,Mastery,4,b-root,Every 5 effective INT contributes +1 effective STR to Mace actions.,Opens INT gear and Wizard investment to physical builds.,,gut_instinct
Barbarian,Bronze Skin,Mace,STR,b-mighty,Mighty Swing,Impact,2,Action,8,b-venom,"110% Mace finisher. Gain +35% damage per skipped or disabled slot passed before it, then reset the strip.",Routing mutations become a deliberate wind-up.,MIGHTY SWING,mighty_swing
Barbarian,Bronze Skin,Mace,STR,b-age2,Second Bronze Age,Alloy,2,Passive,8,b-age1,Combo slot 2 gains one 70%-power extra hit per two equipped Bronze items.,Bronze quantity feeds multihit and on-hit effects.,,second_bronze_age
Barbarian,Bronze Skin,Mace,STR,b-warcry,Warcry,Instinct,2,Action,8,b-gut,Apply Weaken and Mark for 2 turns. Your next miss against that enemy is salvaged into a normal hit.,Creates a safe setup window for risky attacks.,WARCRY,warcry
Barbarian,Bronze Skin,Mace,STR,b-mastery,Mace Mastery,Impact,3,Mastery,14,b-mighty,Bludgeon hits against Armor-Broken enemies bank +25% damage onto the next strip slot.,Rewards sequencing Armor Break before a payoff action.,,mace_mastery
Barbarian,Bronze Skin,Mace,STR,b-age3,Third Bronze Age,Alloy,3,Passive,14,b-age2,Combo slot 3 is 6% faster per Bronze item. Speed beyond 30% becomes Focus.,Excess material synergy converts into accuracy.,,third_bronze_age
Barbarian,Bronze Skin,Mace,STR,b-memory,Pain Memory,Instinct,3,Rule,14,b-warcry,"Store 25% of post-armor damage taken. Your next Finisher adds it, capped at 20% max HP.","Healing, armor, speed, and finisher timing share one risk window.",,pain_memory
Barbarian,Bronze Skin,Mace,STR,b-rage,Barbarian Rage,Impact,4,Action,21,b-mastery,The next 2 actions gain damage and speed. A kill during Rage retriggers the opener.,"Aim a two-action bank at multihit, Mighty Swing, or a room reset.",BARBARIAN RAGE,barbarian_rage
Barbarian,Bronze Skin,Mace,STR,b-alloy,Living Alloy,Confluence,4,Rule,21,"b-age3, b-memory",Harden and Fortify stacks count as Bronze items. A critical may consume one stack to repeat the current slot.,"Defense, equipment, crits, and routing become one engine.",,living_alloy
Warrior,Iron Discipline,Sword,AGI,w-root,Iron Discipline,Core,0,Passive,0,,"Once per fight, a miss does not reset the strip; lose all Focus instead.",Focus doubles as accuracy and combo insurance.,,iron_discipline
Warrior,Iron Discipline,Sword,AGI,w-riposte,Riposte,Guard,1,Passive,4,w-root,"After taking a hit, your next Sword action gains Pierce; if armor absorbed damage, it gains +1 hit.",Enemy attacks determine your offensive cadence.,,riposte
Warrior,Iron Discipline,Sword,AGI,w-cadence,Cadence Keeper,Tempo,1,Rule,4,w-root,Alternating actions above and below base speed grants Focus. Repeating a speed band removes one.,Mixed-speed strips outperform all-fast strips.,,cadence_keeper
Warrior,Iron Discipline,Sword,AGI,w-challenge,Challenge,Command,1,Action,4,w-root,Mark and Weaken the enemy. Strip its next damage bonus and deposit it as Fortify on you.,Turns enemy buffs into defense.,CHALLENGE,challenge
Warrior,Iron Discipline,Sword,AGI,w-geometry,Shield Geometry,Guard,2,Passive,8,w-riposte,"When armor reduces a hit to zero, Expose the attacker and jump to your first Sword action.","Armor changes routing, not only effective HP.",,shield_geometry
Warrior,Iron Discipline,Sword,AGI,w-cut,Measured Cut,Tempo,2,Action,8,w-cadence,90% Sword attack. Bank damage equal to armor unused since your last turn onto the next action.,Quiet enemy turns become an offensive resource.,MEASURED CUT,measured_cut
Warrior,Iron Discipline,Sword,AGI,w-opening,Commander's Opening,Command,2,Passive,8,w-challenge,First normal hit lowers Combo threshold; a first-hit critical lowers Crit threshold instead.,The opening roll selects the fight plan.,,commanders_opening
Warrior,Iron Discipline,Sword,AGI,w-bulwark,Mobile Bulwark,Guard,3,Mastery,14,w-geometry,"Each Fortify stack gives the next action -3% speed, then expires.",Choose when to cash defense into tempo.,,mobile_bulwark
Warrior,Iron Discipline,Sword,AGI,w-flow,Flow State,Tempo,3,Rule,14,w-cut,Three different actions connect without a miss: gain one reroll and exploding dice on the next action.,Rewards action diversity and precise sequencing.,,flow_state
